spec,dps,item_level,fight_name,fight_length
Arms Warrior,258742.64,467,The Stone Guard,186533
Survival Hunter,209687.41,470,The Stone Guard,186533
Assassination Rogue,163649.79,466,The Stone Guard,186533
Retribution Paladin,208207.93,471,The Stone Guard,186533
Blood DeathKnight,187041.07,470,The Stone Guard,186533
Survival Hunter,237086.16,469,The Stone Guard,186533
Brewmaster Monk,191062.64,467,The Stone Guard,186533
Shadow Priest,103397.32,465,The Stone Guard,186533
Arms Warrior,167558.02,464,The Stone Guard,186533
Unholy DeathKnight,102232.17,470,Feng the Accursed,348093
Frost Mage,84504.18,468,Feng the Accursed,348093
Survival Hunter,104809.13,470,Feng the Accursed,348093
Elemental Shaman,99266.03,471,Feng the Accursed,348093
Survival Hunter,111084.11,470,Feng the Accursed,348093
Survival Hunter,97359.09,469,Feng the Accursed,348093
Feral Druid,88667.51,468,Feng the Accursed,348093
Blood DeathKnight,96557.66,472,Feng the Accursed,348093
Destruction Warlock,89322.22,471,Feng the Accursed,348093
Arms Warrior,104351.89,467,Feng the Accursed,348093
Survival Hunter,107907.64,470,Feng the Accursed,348093
Destruction Warlock,5685.43,469,Feng the Accursed,348093
Survival Hunter,114460.85,470,Feng the Accursed,348093
Assassination Rogue,94261.0,466,Feng the Accursed,348093
Elemental Shaman,101096.88,471,Feng the Accursed,348093
Retribution Paladin,83865.77,471,Feng the Accursed,348093
Unholy DeathKnight,94092.17,470,Feng the Accursed,348093
Survival Hunter,119997.2,469,Feng the Accursed,348093
Brewmaster Monk,90452.98,467,Feng the Accursed,348093
Shadow Priest,79382.56,465,Feng the Accursed,348093
Arms Warrior,84894.18,464,Feng the Accursed,348093
Blood DeathKnight,257503.35,471,The Stone Guard,166902
Destruction Warlock,192270.15,471,The Stone Guard,166902
Survival Hunter,160456.21,467,The Stone Guard,166902
Destruction Warlock,241245.11,480,The Stone Guard,166902
Retribution Paladin,150026.57,472,The Stone Guard,166902
Protection Warrior,21219.24,468,The Stone Guard,166902
Survival Hunter,172582.52,470,The Stone Guard,166902
Frost Mage,164171.01,467,The Stone Guard,166902
Blood DeathKnight,97742.16,471,Feng the Accursed,304698
Destruction Warlock,101079.24,471,Feng the Accursed,304698
Survival Hunter,89493.93,467,Feng the Accursed,304698
Destruction Warlock,122558.2,480,Feng the Accursed,304698
Retribution Paladin,99525.56,472,Feng the Accursed,304698
Protection Warrior,37926.32,468,Feng the Accursed,304698
Survival Hunter,104704.1,470,Feng the Accursed,304698
Frost Mage,92216.63,467,Feng the Accursed,304698
Elemental Shaman,14278.06,467,Feng the Accursed,304698
Blood DeathKnight,91727.82,471,Gara'jal the Spiritbinder,239315
Destruction Warlock,100867.7,471,Gara'jal the Spiritbinder,239315
Survival Hunter,100165.56,467,Gara'jal the Spiritbinder,239315
Destruction Warlock,107785.94,480,Gara'jal the Spiritbinder,239315
Retribution Paladin,86838.97,472,Gara'jal the Spiritbinder,239315
Protection Warrior,39980.63,468,Gara'jal the Spiritbinder,239315
Survival Hunter,113685.63,470,Gara'jal the Spiritbinder,239315
Frost Mage,94951.75,467,Gara'jal the Spiritbinder,239315
Elemental Shaman,12962.35,467,Gara'jal the Spiritbinder,239315
Windwalker Monk,50511.69,467,The Spirit Kings,583655
Survival Hunter,57648.28,467,The Spirit Kings,583655
Unholy DeathKnight,68684.6,471,The Spirit Kings,583655
Enhancement Shaman,65986.71,465,The Spirit Kings,583655
Blood DeathKnight,50003.66,471,The Spirit Kings,583655
Destruction Warlock,61797.59,472,The Spirit Kings,583655
Elemental Shaman,48712.05,467,The Spirit Kings,583655
Survival Hunter,27405.06,460,The Spirit Kings,583655
Destruction Warlock,2810.43,467,The Spirit Kings,583655
Blood DeathKnight,207779.02,471,The Stone Guard,226768
Destruction Warlock,129096.1,467,The Stone Guard,226768
Brewmaster Monk,24859.84,471,The Stone Guard,226768
Enhancement Shaman,148738.95,470,The Stone Guard,226768
Retribution Paladin,130289.64,469,The Stone Guard,226768
Balance Druid,115507.33,467,The Stone Guard,226768
Arms Warrior,121768.05,464,The Stone Guard,226768
Frost Mage,95332.01,466,The Stone Guard,226768
Destruction Warlock,12182.08,465,The Stone Guard,226768
Brewmaster Monk,59257.33,471,Feng the Accursed,362542
Destruction Warlock,83168.07,470,Feng the Accursed,362542
Retribution Paladin,90639.93,469,Feng the Accursed,362542
Balance Druid,69000.73,467,Feng the Accursed,362542
Frost Mage,72947.66,466,Feng the Accursed,362542
Blood DeathKnight,49325.54,471,Feng the Accursed,362542
Enhancement Shaman,93451.43,470,Feng the Accursed,362542
Arms Warrior,75409.83,464,Feng the Accursed,362542
Destruction Warlock,7735.96,465,Feng the Accursed,362542
Destruction Warlock,77370.94,470,Gara'jal the Spiritbinder,343571
Brewmaster Monk,45772.59,471,Gara'jal the Spiritbinder,343571
Retribution Paladin,78926.14,469,Gara'jal the Spiritbinder,343571
Balance Druid,69997.24,467,Gara'jal the Spiritbinder,343571
Frost Mage,66221.16,466,Gara'jal the Spiritbinder,343571
Blood DeathKnight,54483.39,473,Gara'jal the Spiritbinder,343571
Enhancement Shaman,89828.77,470,Gara'jal the Spiritbinder,343571
Frost Mage,70493.84,465,Gara'jal the Spiritbinder,343571
Destruction Warlock,6253.23,465,Gara'jal the Spiritbinder,343571
Brewmaster Monk,47173.02,471,The Spirit Kings,305666
Destruction Warlock,73471.69,470,The Spirit Kings,305666
Retribution Paladin,73641.97,469,The Spirit Kings,305666
Balance Druid,63814.04,467,The Spirit Kings,305666
Frost Mage,70234.14,466,The Spirit Kings,305666
Blood DeathKnight,35873.04,473,The Spirit Kings,305666
Enhancement Shaman,81658.1,470,The Spirit Kings,305666
Frost Mage,78282.26,465,The Spirit Kings,305666
Elemental Shaman,11830.89,465,The Spirit Kings,305666
Destruction Warlock,125758.82,470,Elegon,434762
Brewmaster Monk,59669.65,471,Elegon,434762
Retribution Paladin,108656.13,469,Elegon,434762
Balance Druid,104645.85,467,Elegon,434762
Frost Mage,109771.85,466,Elegon,434762
Blood DeathKnight,65868.38,475,Elegon,434762
Enhancement Shaman,41069.39,470,Elegon,434762
Frost Mage,135600.66,465,Elegon,434762
Elemental Shaman,12984.38,465,Elegon,434762
Brewmaster Monk,66926.99,471,Will of the Emperor,378823
Destruction Warlock,88932.85,470,Will of the Emperor,378823
Retribution Paladin,61587.13,469,Will of the Emperor,378823
Balance Druid,63313.01,467,Will of the Emperor,378823
Frost Mage,56944.01,466,Will of the Emperor,378823
Blood DeathKnight,61295.75,475,Will of the Emperor,378823
Enhancement Shaman,79290.42,470,Will of the Emperor,378823
Frost Mage,72595.08,465,Will of the Emperor,378823
Protection Warrior,21217.34,468,The Stone Guard,166917
Survival Hunter,160441.79,467,The Stone Guard,166917
Destruction Warlock,241223.43,480,The Stone Guard,166917
Blood DeathKnight,257480.21,471,The Stone Guard,166917
Destruction Warlock,192252.87,471,The Stone Guard,166917
Retribution Paladin,150013.08,472,The Stone Guard,166917
Frost Mage,164156.26,467,The Stone Guard,166917
Survival Hunter,172567.01,470,The Stone Guard,166917
Protection Warrior,37915.74,468,Feng the Accursed,304783
Survival Hunter,89468.97,467,Feng the Accursed,304783
Destruction Warlock,122524.02,480,Feng the Accursed,304783
Elemental Shaman,14274.08,467,Feng the Accursed,304783
Blood DeathKnight,97714.91,471,Feng the Accursed,304783
Destruction Warlock,101051.05,471,Feng the Accursed,304783
Retribution Paladin,99497.81,472,Feng the Accursed,304783
Frost Mage,92190.92,467,Feng the Accursed,304783
Survival Hunter,104674.9,470,Feng the Accursed,304783
Protection Warrior,39982.3,468,Gara'jal the Spiritbinder,239305
Survival Hunter,100169.75,467,Gara'jal the Spiritbinder,239305
Destruction Warlock,107790.45,480,Gara'jal the Spiritbinder,239305
Elemental Shaman,12962.89,467,Gara'jal the Spiritbinder,239305
Blood DeathKnight,91731.66,471,Gara'jal the Spiritbinder,239305
Destruction Warlock,100871.92,471,Gara'jal the Spiritbinder,239305
Retribution Paladin,86842.6,472,Gara'jal the Spiritbinder,239305
Frost Mage,94955.72,467,Gara'jal the Spiritbinder,239305
Survival Hunter,113690.38,470,Gara'jal the Spiritbinder,239305
Arms Warrior,78881.07,471,The Spirit Kings,373410
Survival Hunter,86223.6,467,The Spirit Kings,373410
Destruction Warlock,90574.3,480,The Spirit Kings,373410
Elemental Shaman,15724.32,467,The Spirit Kings,373410
Blood DeathKnight,84421.77,471,The Spirit Kings,373410
Destruction Warlock,85856.78,471,The Spirit Kings,373410
Retribution Paladin,83898.45,472,The Spirit Kings,373410
Frost Mage,76642.55,467,The Spirit Kings,373410
Survival Hunter,87993.82,470,The Spirit Kings,373410
Arms Warrior,125039.49,471,Elegon,381152
Survival Hunter,143118.79,467,Elegon,381152
Destruction Warlock,174814.21,480,Elegon,381152
Elemental Shaman,15456.49,467,Elegon,381152
Blood DeathKnight,95663.67,471,Elegon,381152
Destruction Warlock,157701.14,471,Elegon,381152
Retribution Paladin,131105.18,472,Elegon,381152
Frost Mage,118203.5,467,Elegon,381152
Survival Hunter,160449.85,470,Elegon,381152
Windwalker Monk,63227.73,467,Gara'jal the Spiritbinder,312454
Survival Hunter,92476.14,469,Gara'jal the Spiritbinder,312454
Blood DeathKnight,63086.04,471,Gara'jal the Spiritbinder,312454
Subtlety Rogue,95270.66,471,Gara'jal the Spiritbinder,312454
Unholy DeathKnight,70635.18,467,Gara'jal the Spiritbinder,312454
Survival Hunter,87251.24,463,Gara'jal the Spiritbinder,312454
Windwalker Monk,87430.28,469,Gara'jal the Spiritbinder,312454
Protection Paladin,50178.55,465,Gara'jal the Spiritbinder,312454
Protection Paladin,21325.14,465,The Stone Guard,346404
Subtlety Rogue,112515.8,471,The Stone Guard,346404
Blood DeathKnight,160380.0,471,The Stone Guard,346404
Survival Hunter,48785.32,463,The Stone Guard,346404
Survival Hunter,56118.67,469,The Stone Guard,346404
Unholy DeathKnight,75875.32,467,The Stone Guard,346404
Windwalker Monk,115391.92,469,The Stone Guard,346404
Subtlety Rogue,94458.88,471,Feng the Accursed,433991
Windwalker Monk,73164.12,469,Feng the Accursed,433991
Protection Paladin,46483.15,465,Feng the Accursed,433991
Blood DeathKnight,116730.41,471,Feng the Accursed,433991
Survival Hunter,102662.17,469,Feng the Accursed,433991
Survival Hunter,69578.51,463,Feng the Accursed,433991
Unholy DeathKnight,64807.96,467,Feng the Accursed,433991
Subtlety Rogue,95310.92,471,Gara'jal the Spiritbinder,312322
Windwalker Monk,87384.42,469,Gara'jal the Spiritbinder,312322
Protection Paladin,50199.76,465,Gara'jal the Spiritbinder,312322
Windwalker Monk,63254.45,467,Gara'jal the Spiritbinder,312322
Blood DeathKnight,63112.7,471,Gara'jal the Spiritbinder,312322
Survival Hunter,92515.23,469,Gara'jal the Spiritbinder,312322
Survival Hunter,87288.12,463,Gara'jal the Spiritbinder,312322
Unholy DeathKnight,70665.03,467,Gara'jal the Spiritbinder,312322
Arms Warrior,258742.64,467,The Stone Guard,186533
Survival Hunter,209687.41,470,The Stone Guard,186533
Arms Warrior,167558.02,464,The Stone Guard,186533
Survival Hunter,132804.5,469,The Stone Guard,186533
Survival Hunter,186008.26,470,The Stone Guard,186533
Combat Rogue,157776.79,470,The Stone Guard,186533
Shadow Priest,103397.32,465,The Stone Guard,186533
Blood DeathKnight,187041.07,470,The Stone Guard,186533
Retribution Paladin,208207.93,471,The Stone Guard,186533
Blood DeathKnight,28834.29,463,The Stone Guard,186533
Assassination Rogue,163649.79,466,The Stone Guard,186533
Brewmaster Monk,191062.64,467,The Stone Guard,186533
Destruction Warlock,190796.24,471,The Stone Guard,186533
Feral Druid,163977.49,468,The Stone Guard,186533
Frost Mage,170438.16,468,The Stone Guard,186533
Survival Hunter,237086.16,469,The Stone Guard,186533
Blood DeathKnight,183093.97,470,The Stone Guard,186533
Blood DeathKnight,379288.56,472,The Stone Guard,186533
Survival Hunter,154134.52,470,The Stone Guard,186533
Blood DeathKnight,160317.06,471,The Stone Guard,346540
Subtlety Rogue,112471.64,471,The Stone Guard,346540
Survival Hunter,56096.65,469,The Stone Guard,346540
Windwalker Monk,115346.63,469,The Stone Guard,346540
Survival Hunter,48766.17,463,The Stone Guard,346540
Protection Paladin,21316.77,465,The Stone Guard,346540
Unholy DeathKnight,75845.54,467,The Stone Guard,346540
Blood DeathKnight,116733.91,471,Feng the Accursed,433978
Survival Hunter,102665.24,469,Feng the Accursed,433978
Unholy DeathKnight,64809.9,467,Feng the Accursed,433978
Subtlety Rogue,94461.71,471,Feng the Accursed,433978
Windwalker Monk,73166.31,469,Feng the Accursed,433978
Survival Hunter,69580.59,463,Feng the Accursed,433978
Protection Paladin,46484.54,465,Feng the Accursed,433978
Windwalker Monk,115346.63,469,The Stone Guard,346540
Blood DeathKnight,160317.06,471,The Stone Guard,346540
Survival Hunter,48766.17,463,The Stone Guard,346540
Protection Paladin,21316.77,465,The Stone Guard,346540
Survival Hunter,56096.65,469,The Stone Guard,346540
Subtlety Rogue,112471.64,471,The Stone Guard,346540
Unholy DeathKnight,75845.54,467,The Stone Guard,346540
Blood DeathKnight,116733.91,471,Feng the Accursed,433978
Survival Hunter,69580.59,463,Feng the Accursed,433978
Protection Paladin,46484.54,465,Feng the Accursed,433978
Survival Hunter,102665.24,469,Feng the Accursed,433978
Subtlety Rogue,94461.71,471,Feng the Accursed,433978
Unholy DeathKnight,64809.9,467,Feng the Accursed,433978
Windwalker Monk,73166.31,469,Feng the Accursed,433978
Destruction Warlock,12146.7,469,The Stone Guard,177690
Arms Warrior,182664.17,474,The Stone Guard,177690
Elemental Shaman,160089.61,476,The Stone Guard,177690
Survival Hunter,160602.67,467,The Stone Guard,177690
Blood DeathKnight,230925.23,472,The Stone Guard,177690
Frost Mage,154212.5,471,The Stone Guard,177690
Combat Rogue,117207.02,467,The Stone Guard,177690
Survival Hunter,157282.64,468,The Stone Guard,177690
Brewmaster Monk,84055.02,466,The Stone Guard,177690
Arms Warrior,100011.22,474,Feng the Accursed,280120
Elemental Shaman,15487.27,469,Feng the Accursed,280120
Elemental Shaman,100842.71,476,Feng the Accursed,280120
Survival Hunter,105396.14,467,Feng the Accursed,280120
Blood DeathKnight,108037.8,472,Feng the Accursed,280120
Frost Mage,97013.61,471,Feng the Accursed,280120
Subtlety Rogue,83401.81,467,Feng the Accursed,280120
Survival Hunter,102255.25,468,Feng the Accursed,280120
Brewmaster Monk,51444.62,466,Feng the Accursed,280120
Elemental Shaman,9202.91,469,Gara'jal the Spiritbinder,270394
Arms Warrior,93457.75,474,Gara'jal the Spiritbinder,270394
Elemental Shaman,89766.09,476,Gara'jal the Spiritbinder,270394
Survival Hunter,98408.59,467,Gara'jal the Spiritbinder,270394
Blood DeathKnight,81298.38,472,Gara'jal the Spiritbinder,270394
Frost Mage,73372.93,471,Gara'jal the Spiritbinder,270394
Assassination Rogue,81884.41,467,Gara'jal the Spiritbinder,270394
Survival Hunter,104330.79,468,Gara'jal the Spiritbinder,270394
Brewmaster Monk,52989.7,466,Gara'jal the Spiritbinder,270394
Brewmaster Monk,62884.48,463,The Stone Guard,252597
Blood DeathKnight,31242.44,467,The Stone Guard,252597
Subtlety Rogue,73919.71,465,The Stone Guard,252597
Feral Druid,9127.85,463,The Stone Guard,252597
Arms Warrior,71370.41,466,The Stone Guard,252597
Survival Hunter,108713.21,468,The Stone Guard,252597
Arms Warrior,84638.56,464,The Stone Guard,252597
Frost Mage,60240.02,465,The Stone Guard,252597
Brewmaster Monk,42739.95,463,Feng the Accursed,333339
Blood DeathKnight,49835.4,467,Feng the Accursed,333339
Subtlety Rogue,67681.29,465,Feng the Accursed,333339
Feral Druid,13471.72,464,Feng the Accursed,333339
Arms Warrior,49467.22,466,Feng the Accursed,333339
Survival Hunter,93089.12,468,Feng the Accursed,333339
Arms Warrior,68906.83,464,Feng the Accursed,333339
Frost Mage,62631.89,465,Feng the Accursed,333339
Elemental Shaman,61602.4,466,Gara'jal the Spiritbinder,285591
Brewmaster Monk,34235.72,464,Gara'jal the Spiritbinder,285591
Blood DeathKnight,52641.36,467,Gara'jal the Spiritbinder,285591
Assassination Rogue,73995.39,465,Gara'jal the Spiritbinder,285591
Feral Druid,30466.56,463,Gara'jal the Spiritbinder,285591
Survival Hunter,99157.32,468,Gara'jal the Spiritbinder,285591
Arms Warrior,65432.75,464,Gara'jal the Spiritbinder,285591
Frost Mage,31078.47,465,Gara'jal the Spiritbinder,285591
Elemental Shaman,11400.12,466,The Spirit Kings,559776
Brewmaster Monk,34132.11,464,The Spirit Kings,559776
Blood DeathKnight,36646.64,467,The Spirit Kings,559776
Subtlety Rogue,58645.88,465,The Spirit Kings,559776
Feral Druid,1313.42,464,The Spirit Kings,559776
Survival Hunter,72876.55,468,The Spirit Kings,559776
Arms Warrior,50463.51,464,The Spirit Kings,559776
Frost Mage,47869.2,465,The Spirit Kings,559776
Survival Hunter,84869.26,469,Feng the Accursed,464840
Affliction Warlock,59657.0,472,Feng the Accursed,464840
Protection Paladin,28560.5,466,Feng the Accursed,464840
Frost Mage,84085.11,473,Feng the Accursed,464840
Elemental Shaman,80539.97,467,Feng the Accursed,464840
Subtlety Rogue,84582.22,467,Feng the Accursed,464840
Blood DeathKnight,84967.16,471,Feng the Accursed,464840
Affliction Warlock,58241.04,472,Gara'jal the Spiritbinder,212384
Protection Paladin,30836.41,466,Gara'jal the Spiritbinder,212384
Survival Hunter,113746.82,469,Gara'jal the Spiritbinder,212384
Frost Mage,98751.59,474,Gara'jal the Spiritbinder,212384
Elemental Shaman,89260.82,467,Gara'jal the Spiritbinder,212384
Subtlety Rogue,96618.1,467,Gara'jal the Spiritbinder,212384
Blood DeathKnight,66048.77,471,Gara'jal the Spiritbinder,212384
Survival Hunter,84861.41,469,Feng the Accursed,464883
Blood DeathKnight,84959.3,471,Feng the Accursed,464883
Protection Paladin,28557.86,466,Feng the Accursed,464883
Elemental Shaman,80532.52,467,Feng the Accursed,464883
Subtlety Rogue,84574.39,467,Feng the Accursed,464883
Affliction Warlock,59651.49,472,Feng the Accursed,464883
Frost Mage,84077.33,473,Feng the Accursed,464883
Survival Hunter,113727.01,469,Gara'jal the Spiritbinder,212421
Blood DeathKnight,66037.26,471,Gara'jal the Spiritbinder,212421
Subtlety Rogue,96601.27,467,Gara'jal the Spiritbinder,212421
Affliction Warlock,58230.89,472,Gara'jal the Spiritbinder,212421
Protection Paladin,30831.04,466,Gara'jal the Spiritbinder,212421
Frost Mage,98734.39,474,Gara'jal the Spiritbinder,212421
Elemental Shaman,89245.28,467,Gara'jal the Spiritbinder,212421
Subtlety Rogue,60532.21,465,The Stone Guard,241659
Blood DeathKnight,5232.06,470,The Stone Guard,241659
Survival Hunter,57599.17,468,The Stone Guard,241659
Unholy DeathKnight,89013.66,465,The Stone Guard,241659
Arcane Mage,68723.38,462,The Stone Guard,241659
Survival Hunter,65556.73,464,The Stone Guard,241659
Brewmaster Monk,46160.35,465,The Stone Guard,241659
Survival Hunter,104974.31,469,The Stone Guard,241659
Subtlety Rogue,64822.22,466,Feng the Accursed,444087
Blood DeathKnight,38581.35,470,Feng the Accursed,444087
Survival Hunter,54724.81,468,Feng the Accursed,444087
Unholy DeathKnight,65590.56,465,Feng the Accursed,444087
Arcane Mage,49173.56,464,Feng the Accursed,444087
Brewmaster Monk,29087.57,465,Feng the Accursed,444087
Survival Hunter,11817.25,469,Feng the Accursed,444087
Subtlety Rogue,71760.79,467,Gara'jal the Spiritbinder,263724
Blood DeathKnight,40185.0,470,Gara'jal the Spiritbinder,263724
Destruction Warlock,53008.09,472,Gara'jal the Spiritbinder,263724
Survival Hunter,54277.77,468,Gara'jal the Spiritbinder,263724
Unholy DeathKnight,78707.65,465,Gara'jal the Spiritbinder,263724
Arcane Mage,59655.2,464,Gara'jal the Spiritbinder,263724
Brewmaster Monk,32532.79,465,Gara'jal the Spiritbinder,263724
Retribution Paladin,57666.06,468,Gara'jal the Spiritbinder,263724
Frost Mage,84929.88,466,The Stone Guard,223891
Guardian Druid,8082.15,463,The Stone Guard,223891
Destruction Warlock,74456.63,466,The Stone Guard,223891
Frost DeathKnight,85357.6,465,The Stone Guard,223891
Enhancement Shaman,83062.06,467,The Stone Guard,223891
Blood DeathKnight,59715.62,462,The Stone Guard,223891
Survival Hunter,87048.08,464,The Stone Guard,223891
Combat Rogue,67473.52,464,The Stone Guard,223891
Guardian Druid,2243.19,466,Feng the Accursed,282637
Enhancement Shaman,70997.13,467,Feng the Accursed,282637
Survival Hunter,89987.04,464,Feng the Accursed,282637
Frost Mage,70770.03,466,Feng the Accursed,282637
Feral Druid,30874.47,463,Feng the Accursed,282637
Frost DeathKnight,70414.3,465,Feng the Accursed,282637
Destruction Warlock,65868.01,466,Feng the Accursed,282637
Blood DeathKnight,48722.15,464,Feng the Accursed,282637
Combat Rogue,61494.14,464,Feng the Accursed,282637
Enhancement Shaman,72646.45,467,Gara'jal the Spiritbinder,218678
Survival Hunter,75269.05,464,Gara'jal the Spiritbinder,218678
Frost Mage,78702.95,466,Gara'jal the Spiritbinder,218678
Guardian Druid,37672.13,463,Gara'jal the Spiritbinder,218678
Frost DeathKnight,87381.48,465,Gara'jal the Spiritbinder,218678
Destruction Warlock,66313.74,466,Gara'jal the Spiritbinder,218678
Blood DeathKnight,56501.49,464,Gara'jal the Spiritbinder,218678
Combat Rogue,66954.21,464,Gara'jal the Spiritbinder,218678
Destruction Warlock,3923.21,466,The Spirit Kings,486237
Enhancement Shaman,51997.92,467,The Spirit Kings,486237
Survival Hunter,81995.17,464,The Spirit Kings,486237
Frost Mage,2954.21,466,The Spirit Kings,486237
Feral Druid,23896.61,463,The Spirit Kings,486237
Frost DeathKnight,22366.27,465,The Spirit Kings,486237
Destruction Warlock,57950.4,466,The Spirit Kings,486237
Blood DeathKnight,47789.01,464,The Spirit Kings,486237
Combat Rogue,48335.24,464,The Spirit Kings,486237
Destruction Warlock,8025.79,466,Elegon,441957
Enhancement Shaman,125168.48,467,Elegon,441957
Survival Hunter,127293.83,464,Elegon,441957
Frost Mage,131445.16,466,Elegon,441957
Guardian Druid,44739.14,463,Elegon,441957
Frost DeathKnight,95344.28,465,Elegon,441957
Destruction Warlock,99208.07,466,Elegon,441957
Blood DeathKnight,81848.56,464,Elegon,441957
Combat Rogue,78456.51,464,Elegon,441957
Enhancement Shaman,45049.94,467,Will of the Emperor,573214
Survival Hunter,54615.08,464,Will of the Emperor,573214
Frost Mage,48825.75,467,Will of the Emperor,573214
Guardian Druid,39667.38,463,Will of the Emperor,573214
Destruction Warlock,50033.38,466,Will of the Emperor,573214
Frost DeathKnight,27195.1,465,Will of the Emperor,573214
Blood DeathKnight,68602.28,467,Will of the Emperor,573214
Combat Rogue,24492.96,464,Will of the Emperor,573214
Destruction Warlock,62320.37,471,The Stone Guard,212931
Brewmaster Monk,61831.3,472,The Stone Guard,212931
Brewmaster Monk,2640.9,465,The Stone Guard,212931
Enhancement Shaman,67936.67,470,The Stone Guard,212931
Arms Warrior,84763.7,463,The Stone Guard,212931
Arms Warrior,94724.33,463,The Stone Guard,212931
Survival Hunter,113619.57,470,Feng the Accursed,268183
Frost Mage,55825.67,460,Feng the Accursed,268183
Windwalker Monk,94595.65,467,Feng the Accursed,268183
Destruction Warlock,83361.04,471,Feng the Accursed,268183
Brewmaster Monk,34041.32,472,Feng the Accursed,268183
Brewmaster Monk,21985.42,465,Feng the Accursed,268183
Arms Warrior,54109.2,463,Feng the Accursed,268183
Arms Warrior,64776.56,463,Feng the Accursed,268183
Survival Hunter,95403.44,470,Gara'jal the Spiritbinder,232471
Frost Mage,55604.26,460,Gara'jal the Spiritbinder,232471
Windwalker Monk,94351.75,467,Gara'jal the Spiritbinder,232471
Destruction Warlock,76391.75,471,Gara'jal the Spiritbinder,232471
Brewmaster Monk,34428.35,472,Gara'jal the Spiritbinder,232471
Brewmaster Monk,23730.37,465,Gara'jal the Spiritbinder,232471
Arms Warrior,61661.37,463,Gara'jal the Spiritbinder,232471
Arms Warrior,55651.9,463,Gara'jal the Spiritbinder,232471
Survival Hunter,103424.01,470,The Spirit Kings,332868
Frost Mage,48164.16,462,The Spirit Kings,332868
Windwalker Monk,79989.26,467,The Spirit Kings,332868
Destruction Warlock,71831.35,471,The Spirit Kings,332868
Brewmaster Monk,36589.92,472,The Spirit Kings,332868
Brewmaster Monk,21152.56,465,The Spirit Kings,332868
Arms Warrior,58067.13,463,The Spirit Kings,332868
Arms Warrior,58646.66,463,The Spirit Kings,332868
Fire Mage,66301.04,469,Elegon,462982
Frost Mage,90108.06,462,Elegon,462982
Windwalker Monk,141375.09,467,Elegon,462982
Destruction Warlock,121117.29,471,Elegon,462982
Brewmaster Monk,50353.33,472,Elegon,462982
Brewmaster Monk,30782.34,465,Elegon,462982
Arms Warrior,107906.04,463,Elegon,462982
Arms Warrior,111997.99,463,Elegon,462982
Destruction Warlock,85212.59,468,The Stone Guard,214600
Guardian Druid,1092.96,465,The Stone Guard,214600
Brewmaster Monk,71560.14,468,The Stone Guard,214600
Balance Druid,70680.05,467,The Stone Guard,214600
